Price,BBCA_Close,BBCA_High,BBCA_Low,BBCA_Open,BBCA_Volume,BBRI_Close,BBRI_High,BBRI_Low,BBRI_Open,BBRI_Volume,BMRI_Close,BMRI_High,BMRI_Low,BMRI_Open,BMRI_Volume,BBNI_Close,BBNI_High,BBNI_Low,BBNI_Open,BBNI_Volume,BBTN_Close,BBTN_High,BBTN_Low,BBTN_Open,BBTN_Volume
Ticker,BBCA_BBCA.JK,BBCA_BBCA.JK,BBCA_BBCA.JK,BBCA_BBCA.JK,BBCA_BBCA.JK,BBRI_BBRI.JK,BBRI_BBRI.JK,BBRI_BBRI.JK,BBRI_BBRI.JK,BBRI_BBRI.JK,BMRI_BMRI.JK,BMRI_BMRI.JK,BMRI_BMRI.JK,BMRI_BMRI.JK,BMRI_BMRI.JK,BBNI_BBNI.JK,BBNI_BBNI.JK,BBNI_BBNI.JK,BBNI_BBNI.JK,BBNI_BBNI.JK,BBTN_BBTN.JK,BBTN_BBTN.JK,BBTN_BBTN.JK,BBTN_BBTN.JK,BBTN_BBTN.JK
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-30,8428.5107421875,8428.5107421875,8358.077504787605,8381.55525058757,205312100,4580.06689453125,4666.892807223786,4580.06689453125,4666.892807223786,224426400,5056.650390625,5121.479241786859,5035.040773571047,5056.650390625,117365000,4620.53125,4620.53125,4511.039988151659,4511.039988151659,127524100,1174.21875,1174.21875,1151.5504343629343,1160.6177606177605,17928400
2023-12-01,8405.0341796875,8428.511928792772,8358.078681476956,8381.556430582228,80566400,4645.18603515625,4666.892511956045,4580.066604756863,4580.066604756863,99499500,5099.86962890625,5099.86962890625,5035.04077769134,5056.650394762976,31365100,4598.63330078125,4642.429808407738,4554.836793154762,4642.429808407738,31223300,1151.5504150390625,1178.7523933470718,1147.0167519877277,1174.218730295737,18840100
2023-12-04,8421.546875,8515.905943627451,8421.546875,8445.136642156864,54747400,4775.4248046875,4840.54423384233,4732.011851917614,4732.011851917614,235595700,5186.30859375,5207.918212890625,5099.8701171875,5121.479736328125,66145100,4642.4296875,4686.226193985849,4598.633181014151,4620.5314342570755,34104500,1169.68505859375,1169.68505859375,1151.550406522529,1156.0840695403342,13555100
2023-12-05,8397.95703125,8445.136565133427,8327.18773042486,8445.136565133427,94363900,4732.01171875,4775.4246702981645,4710.305242975917,4710.305242975917,114689900,5164.69873046875,5186.308348587866,5078.260257992286,5186.308348587866,58668400,4642.4296875,4664.3279407429245,4576.7349277712265,4642.4296875,29788300,1165.1513671875,1169.6850300948443,1156.0840413728113,1169.6850300948443,11062900
2023-12-06,8303.59765625,8445.136252663353,8303.59765625,8350.777188387785,81852800,4710.3056640625,4732.012141777073,4688.599186347927,4710.3056640625,119716700,5013.431640625,5143.08935546875,5013.431640625,5121.479736328125,88747200,4576.73486328125,4664.32787501869,4576.73486328125,4642.429622084331,32453700,1147.0167236328125,1165.151375389853,1142.4830606935525,1165.151375389853,8324200
2023-12-07,8327.1875,8327.1875,8232.828434844192,8256.418201133145,91322500,4753.71826171875,4753.71826171875,4688.598833476027,4688.598833476027,102126600,4970.2119140625,5035.040765115489,4948.602297044837,5013.431148097826,97966700,4620.53125,4642.429502369669,4511.039988151659,4576.734745260664,36511000,1110.747314453125,1147.0166145169005,1110.747314453125,1142.4829520089286,22094100
2023-12-08,8256.41796875,8350.77703125,8256.41796875,8303.5975,43891600,4666.89208984375,4732.0115143531975,4666.89208984375,4710.305039516716,130542600,4926.99267578125,4991.821526778372,4883.773441783169,4970.211909779331,98036700,4445.34521484375,4576.734728582975,4445.34521484375,4554.836476293103,47842200,1106.2137451171875,1115.2810708968366,1097.1464193375384,1106.2137451171875,18702700
2023-12-11,8256.41796875,8280.007734375,8185.648671875,8185.648671875,78642800,4601.77294921875,4666.89237774543,4601.77294921875,4623.47942539431,124468600,4991.82177734375,5013.431395427489,4883.773686925054,4883.773686925054,68655000,4532.9384765625,4554.836730072464,4423.447209012681,4445.345462522645,36394800,1097.1463623046875,1110.7473502671423,1092.612699650536,1106.2136876129907,11109600
2023-12-12,8209.2392578125,8256.41879377694,8209.2392578125,8209.2392578125,87589300,4623.47998046875,4688.59941681338,4623.47998046875,4666.892938031837,134501600,5013.431640625,5035.041259765625,4970.21240234375,5013.431640625,55110500,4620.53125,4642.429502369669,4576.734745260664,4598.632997630332,40554100,1092.6126708984375,1106.2136585029823,1088.0790083635893,1106.2136585029823,8649300
2023-12-13,8185.6484375,8256.417732348704,8185.6484375,8209.238202449567,51560500,4601.77294921875,4645.18590156987,4580.06647304319,4601.77294921875,98881600,4948.6025390625,4991.821775211517,4926.992920987991,4970.212157137008,121450600,4532.9384765625,4620.531490602355,4489.141969542573,4620.531490602355,39240500,1083.54541015625,1097.1463985682533,1083.54541015625,1092.6127357642522,9472900
